"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0009048" "dosage compensation by inactivation of X chromosome" "1/3" "19/18800" 0.00302901271708722 0.0167374993989217 0.00352368408398351 "XIST" 1
"2" "AMY" "GO:0007549" "dosage compensation" "1/3" "21/18800" 0.00334749987978433 0.0167374993989217 0.00352368408398351 "XIST" 1
"3" "AMY" "GO:0042267" "natural killer cell mediated cytotoxicity" "1/3" "72/18800" 0.0114460225817458 0.0295358310089326 0.00621806968609108 "ULBP1" 1
"4" "AMY" "GO:0002228" "natural killer cell mediated immunity" "1/3" "75/18800" 0.0119210351637784 0.0295358310089326 0.00621806968609108 "ULBP1" 1
"5" "AMY" "GO:0030101" "natural killer cell activation" "1/3" "93/18800" 0.0147679155044663 0.0295358310089326 0.00621806968609108 "ULBP1" 1
"6" "AMY" "GO:0001909" "leukocyte mediated cytotoxicity" "1/3" "131/18800" 0.0207600276022488 0.0319040727184458 0.00671664688809385 "ULBP1" 1
"7" "AMY" "GO:0040029" "regulation of gene expression, epigenetic" "1/3" "141/18800" 0.022332850902912 0.0319040727184458 0.00671664688809385 "XIST" 1
"8" "AMY" "GO:0001906" "cell killing" "1/3" "185/18800" 0.0292332672235337 0.0365415840294171 0.00769296505882466 "ULBP1" 1
"9" "CBC" "GO:0048588" "developmental cell growth" "4/8" "227/18800" 1.39512141265e-06 7.33688485769689e-05 2.16689518705171e-05 "SEMA3D/DCC/BCL11A/ISLR2" 4
"10" "CBC" "GO:0060560" "developmental growth involved in morphogenesis" "4/8" "234/18800" 1.5746967021559e-06 7.33688485769689e-05 2.16689518705171e-05 "SEMA3D/DCC/BCL11A/ISLR2" 4
"11" "CBC" "GO:2000171" "negative regulation of dendrite development" "2/8" "5/18800" 1.58350032899933e-06 7.33688485769689e-05 2.16689518705171e-05 "DCC/BCL11A" 2
"12" "CBC" "GO:0048638" "regulation of developmental growth" "4/8" "329/18800" 6.09905403242103e-06 0.000211942127626631 6.25955545432684e-05 "SEMA3D/DCC/BCL11A/ISLR2" 4
"13" "CBC" "GO:0061387" "regulation of extent of cell growth" "3/8" "108/18800" 1.01107889878058e-05 0.000254341133396291 7.51177902495673e-05 "SEMA3D/DCC/ISLR2" 3
"14" "CBC" "GO:0048640" "negative regulation of developmental growth" "3/8" "111/18800" 1.09787539595521e-05 0.000254341133396291 7.51177902495673e-05 "SEMA3D/DCC/BCL11A" 3
"15" "CBC" "GO:0001558" "regulation of cell growth" "4/8" "415/18800" 1.52712957737127e-05 0.000303244301792295 8.95609827330518e-05 "SEMA3D/DCC/BCL11A/ISLR2" 4
"16" "CBC" "GO:0010975" "regulation of neuron projection development" "4/8" "431/18800" 1.77265896814809e-05 0.000307999495715731 9.09653944181259e-05 "SEMA3D/DCC/BCL11A/ISLR2" 4
"17" "CBC" "GO:0010977" "negative regulation of neuron projection development" "3/8" "136/18800" 2.01936346883408e-05 0.000311879469075485 9.21113161222561e-05 "SEMA3D/DCC/BCL11A" 3
"18" "CBC" "GO:0016049" "cell growth" "4/8" "484/18800" 2.79754420650984e-05 0.00036819449218105 0.000108743545589254 "SEMA3D/DCC/BCL11A/ISLR2" 4
"19" "CBC" "GO:0050770" "regulation of axonogenesis" "3/8" "154/18800" 2.92904868628286e-05 0.00036819449218105 0.000108743545589254 "SEMA3D/DCC/ISLR2" 3
"20" "CBC" "GO:0060284" "regulation of cell development" "4/8" "500/18800" 3.1786574864551e-05 0.00036819449218105 0.000108743545589254 "SEMA3D/DCC/BCL11A/ISLR2" 4
"21" "CBC" "GO:1990138" "neuron projection extension" "3/8" "172/18800" 4.07452828996749e-05 0.000434298735584595 0.000128266949547892 "SEMA3D/BCL11A/ISLR2" 3
"22" "CBC" "GO:0008361" "regulation of cell size" "3/8" "179/18800" 4.58923767693993e-05 0.000434298735584595 0.000128266949547892 "SEMA3D/DCC/ISLR2" 3
"23" "CBC" "GO:0010721" "negative regulation of cell development" "3/8" "181/18800" 4.74377590791104e-05 0.000434298735584595 0.000128266949547892 "SEMA3D/DCC/BCL11A" 3
"24" "CBC" "GO:0030308" "negative regulation of cell growth" "3/8" "186/18800" 5.14501936671243e-05 0.000434298735584595 0.000128266949547892 "SEMA3D/DCC/BCL11A" 3
"25" "CBC" "GO:0031345" "negative regulation of cell projection organization" "3/8" "188/18800" 5.31156726973965e-05 0.000434298735584595 0.000128266949547892 "SEMA3D/DCC/BCL11A" 3
"26" "CBC" "GO:0045926" "negative regulation of growth" "3/8" "245/18800" 0.000116654791327717 0.000900834221919591 0.000266054787238652 "SEMA3D/DCC/BCL11A" 3
"27" "CBC" "GO:0050771" "negative regulation of axonogenesis" "2/8" "64/18800" 0.000315248794196872 0.00227495908346955 0.000671892497200396 "SEMA3D/DCC" 2
"28" "CBC" "GO:0032535" "regulation of cellular component size" "3/8" "351/18800" 0.000337036372445006 0.00227495908346955 0.000671892497200396 "SEMA3D/DCC/ISLR2" 3
"29" "CBC" "GO:0050767" "regulation of neurogenesis" "3/8" "361/18800" 0.000366020051386874 0.00227495908346955 0.000671892497200396 "SEMA3D/DCC/ISLR2" 3
"30" "CBC" "GO:0021757" "caudate nucleus development" "1/8" "1/18800" 0.000425531914893584 0.00227495908346955 0.000671892497200396 "FOXP2" 1
"31" "CBC" "GO:0021758" "putamen development" "1/8" "1/18800" 0.000425531914893584 0.00227495908346955 0.000671892497200396 "FOXP2" 1
"32" "CBC" "GO:1904799" "regulation of neuron remodeling" "1/8" "1/18800" 0.000425531914893584 0.00227495908346955 0.000671892497200396 "BCL11A" 1
"33" "CBC" "GO:1904800" "negative regulation of neuron remodeling" "1/8" "1/18800" 0.000425531914893584 0.00227495908346955 0.000671892497200396 "BCL11A" 1
"34" "CBC" "GO:2000173" "negative regulation of branching morphogenesis of a nerve" "1/8" "1/18800" 0.000425531914893584 0.00227495908346955 0.000671892497200396 "BCL11A" 1
"35" "CBC" "GO:0007409" "axonogenesis" "3/8" "430/18800" 0.000610833222429324 0.00314465992287689 0.000928752268021194 "SEMA3D/DCC/ISLR2" 3
"36" "CBC" "GO:0051960" "regulation of nervous system development" "3/8" "440/18800" 0.000653231278768685 0.0031866733147019 0.000941160615474244 "SEMA3D/DCC/ISLR2" 3
"37" "CBC" "GO:0030516" "regulation of axon extension" "2/8" "93/18800" 0.000664845511700395 0.0031866733147019 0.000941160615474244 "SEMA3D/ISLR2" 2
"38" "CBC" "GO:0050773" "regulation of dendrite development" "2/8" "98/18800" 0.000737878907232642 0.00341883893684458 0.00100972903094993 "DCC/BCL11A" 2
"39" "CBC" "GO:0061564" "axon development" "3/8" "479/18800" 0.000836628962230993 0.00369612023840128 0.00109162203178834 "SEMA3D/DCC/ISLR2" 3
"40" "CBC" "GO:0033563" "dorsal/ventral axon guidance" "1/8" "2/18800" 0.000850905378624756 0.00369612023840128 0.00109162203178834 "DCC" 1
"41" "CBC" "GO:0090066" "regulation of anatomical structure size" "3/8" "487/18800" 0.000877920363078509 0.00369790698387614 0.00109214973397326 "SEMA3D/DCC/ISLR2" 3
"42" "CBC" "GO:0048675" "axon extension" "2/8" "121/18800" 0.00112156691676502 0.00458522945383345 0.00135421392426736 "SEMA3D/ISLR2" 2
"43" "CBC" "GO:0014043" "negative regulation of neuron maturation" "1/8" "3/18800" 0.00127612044176817 0.00466791424752041 0.00137863427227032 "BCL11A" 1
"44" "CBC" "GO:0021965" "spinal cord ventral commissure morphogenesis" "1/8" "3/18800" 0.00127612044176817 0.00466791424752041 0.00137863427227032 "DCC" 1
"45" "CBC" "GO:1903860" "negative regulation of dendrite extension" "1/8" "3/18800" 0.00127612044176817 0.00466791424752041 0.00137863427227032 "BCL11A" 1
"46" "CBC" "GO:1904071" "presynaptic active zone assembly" "1/8" "3/18800" 0.00127612044176817 0.00466791424752041 0.00137863427227032 "PCDH17" 1
"47" "CBC" "GO:0050768" "negative regulation of neurogenesis" "2/8" "140/18800" 0.00149707111419467 0.00533571499674511 0.00157586433073123 "SEMA3D/DCC" 2
"48" "CBC" "GO:0051961" "negative regulation of nervous system development" "2/8" "145/18800" 0.00160460125801653 0.00557598937160742 0.0016468276069117 "SEMA3D/DCC" 2
"49" "CBC" "GO:1905232" "cellular response to L-glutamate" "1/8" "4/18800" 0.0017011771548856 0.00576740547631948 0.0017033609509766 "BCL11A" 1
"50" "CBC" "GO:2000172" "regulation of branching morphogenesis of a nerve" "1/8" "5/18800" 0.0021260755685244 0.00703629771487837 0.00207811897675317 "BCL11A" 1
"51" "CBC" "GO:0033564" "anterior/posterior axon guidance" "1/8" "7/18800" 0.00297539769949307 0.00919067289398969 0.00271439790129192 "DCC" 1
"52" "CBC" "GO:1903430" "negative regulation of cell maturation" "1/8" "7/18800" 0.00297539769949307 0.00919067289398969 0.00271439790129192 "BCL11A" 1
"53" "CBC" "GO:2000807" "regulation of synaptic vesicle clustering" "1/8" "7/18800" 0.00297539769949307 0.00919067289398969 0.00271439790129192 "PCDH17" 1
"54" "CBC" "GO:0014041" "regulation of neuron maturation" "1/8" "8/18800" 0.00339982151785101 0.0100547912974743 0.00296960894056415 "BCL11A" 1
"55" "CBC" "GO:1990709" "presynaptic active zone organization" "1/8" "8/18800" 0.00339982151785101 0.0100547912974743 0.00296960894056415 "PCDH17" 1
"56" "CBC" "GO:0048671" "negative regulation of collateral sprouting" "1/8" "9/18800" 0.00382408723878858 0.0110739192956586 0.00327060092791128 "DCC" 1
"57" "CBC" "GO:0016358" "dendrite development" "2/8" "231/18800" 0.00400874926811688 0.0111414923184392 0.00329055812509752 "DCC/BCL11A" 2
"58" "CBC" "GO:0007411" "axon guidance" "2/8" "234/18800" 0.00411114468517125 0.0111414923184392 0.00329055812509752 "SEMA3D/DCC" 2
"59" "CBC" "GO:0097485" "neuron projection guidance" "2/8" "235/18800" 0.00414554851468246 0.0111414923184392 0.00329055812509752 "SEMA3D/DCC" 2
"60" "CBC" "GO:0038007" "netrin-activated signaling pathway" "1/8" "10/18800" 0.00424819491278616 0.0111414923184392 0.00329055812509752 "DCC" 1
"61" "CBC" "GO:0048755" "branching morphogenesis of a nerve" "1/8" "10/18800" 0.00424819491278616 0.0111414923184392 0.00329055812509752 "BCL11A" 1
"62" "CBC" "GO:1902065" "response to L-glutamate" "1/8" "11/18800" 0.0046721445903114 0.012026446260246 0.00355192278795603 "BCL11A" 1
"63" "CBC" "GO:0016322" "neuron remodeling" "1/8" "14/18800" 0.00594304614852414 0.0144926914849975 0.00428031024547445 "BCL11A" 1
"64" "CBC" "GO:0097091" "synaptic vesicle clustering" "1/8" "14/18800" 0.00594304614852414 0.0144926914849975 0.00428031024547445 "PCDH17" 1
"65" "CBC" "GO:0099170" "postsynaptic modulation of chemical synaptic transmission" "1/8" "14/18800" 0.00594304614852414 0.0144926914849975 0.00428031024547445 "DCC" 1
"66" "CBC" "GO:0021756" "striatum development" "1/8" "18/18800" 0.00763537266819636 0.0182985655324016 0.00540434726061085 "FOXP2" 1
"67" "CBC" "GO:0009048" "dosage compensation by inactivation of X chromosome" "1/8" "19/18800" 0.00805806018915567 0.0186678394382106 0.00551340960310651 "XIST" 1
"68" "CBC" "GO:0048670" "regulation of collateral sprouting" "1/8" "19/18800" 0.00805806018915567 0.0186678394382106 0.00551340960310651 "DCC" 1
"69" "CBC" "GO:1903429" "regulation of cell maturation" "1/8" "20/18800" 0.00848059016724423 0.0193246234958516 0.00570738596242493 "BCL11A" 1
"70" "CBC" "GO:0007549" "dosage compensation" "1/8" "21/18800" 0.008902962652796 0.0199598678828814 0.00589500073784455 "XIST" 1
"71" "CBC" "GO:0021544" "subpallium development" "1/8" "24/18800" 0.0101691356573597 0.0224366643868729 0.00662650443837973 "FOXP2" 1
"72" "CBC" "GO:0048668" "collateral sprouting" "1/8" "25/18800" 0.0105908786758269 0.0226481867067682 0.00668897600578539 "DCC" 1
"73" "CBC" "GO:0099560" "synaptic membrane adhesion" "1/8" "25/18800" 0.0105908786758269 0.0226481867067682 0.00668897600578539 "PCDH17" 1
"74" "CBC" "GO:0021952" "central nervous system projection neuron axonogenesis" "1/8" "26/18800" 0.0110124644532219 0.0228467546119081 0.00674762158170706 "DCC" 1
"75" "CBC" "GO:1903859" "regulation of dendrite extension" "1/8" "26/18800" 0.0110124644532219 0.0228467546119081 0.00674762158170706 "BCL11A" 1
"76" "CBC" "GO:0048843" "negative regulation of axon extension involved in axon guidance" "1/8" "27/18800" 0.0114338930397977 0.0233722225372335 0.00690281468346919 "SEMA3D" 1
"77" "CBC" "GO:0050804" "modulation of chemical synaptic transmission" "2/8" "429/18800" 0.0132798667614734 0.0264875775933721 0.00782291197380926 "DCC/PCDH17" 2
"78" "CBC" "GO:0099177" "regulation of trans-synaptic signaling" "2/8" "430/18800" 0.0133390678527773 0.0264875775933721 0.00782291197380926 "DCC/PCDH17" 2
"79" "CBC" "GO:0048841" "regulation of axon extension involved in axon guidance" "1/8" "33/18800" 0.0139591663645189 0.0273285087981426 0.00807127484382856 "SEMA3D" 1
"80" "CBC" "GO:0021955" "central nervous system neuron axonogenesis" "1/8" "35/18800" 0.0147996688888319 0.0285715829937171 0.00843840769977256 "DCC" 1
"81" "CBC" "GO:0097484" "dendrite extension" "1/8" "36/18800" 0.0152196850172033 0.0289799481834419 0.00855901536655988 "BCL11A" 1
"82" "CBC" "GO:0048846" "axon extension involved in axon guidance" "1/8" "37/18800" 0.0156395444565477 0.0289852890594684 0.00856059275516295 "SEMA3D" 1
