"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0070076" "histone lysine demethylation" "2/11" "28/18800" 0.000116677526080954 0.00488252953888312 0.00336569339429297 "UTY/KDM5D" 2
"2" "AMY" "GO:0016577" "histone demethylation" "2/11" "32/18800" 0.00015290529482797 0.00488252953888312 0.00336569339429297 "UTY/KDM5D" 2
"3" "AMY" "GO:0006482" "protein demethylation" "2/11" "34/18800" 0.000172832904031261 0.00488252953888312 0.00336569339429297 "UTY/KDM5D" 2
"4" "AMY" "GO:0008214" "protein dealkylation" "2/11" "34/18800" 0.000172832904031261 0.00488252953888312 0.00336569339429297 "UTY/KDM5D" 2
"5" "AMY" "GO:0070988" "demethylation" "2/11" "74/18800" 0.000821566168347842 0.0185673954046612 0.0127991360963664 "UTY/KDM5D" 2
"6" "AMY" "GO:0034721" "histone H3-K4 demethylation, trimethyl-H3-K4-specific" "1/11" "5/18800" 0.00292242097118034 0.0471762242490541 0.0325201732131346 "KDM5D" 1
"7" "AMY" "GO:0071557" "histone H3-K27 demethylation" "1/11" "5/18800" 0.00292242097118034 0.0471762242490541 0.0325201732131346 "UTY" 1
"8" "AMY" "GO:0002457" "T cell antigen processing and presentation" "1/11" "6/18800" 0.00350597262690366 0.0495218633550143 0.0341371018935357 "KDM5D" 1
"9" "CC" "GO:0070076" "histone lysine demethylation" "2/15" "28/18800" 0.000221928221596855 0.0427819224553646 0.0246345042929163 "KDM5D/UTY" 2
"10" "CC" "GO:0016577" "histone demethylation" "2/15" "32/18800" 0.000290671002400381 0.0427819224553646 0.0246345042929163 "KDM5D/UTY" 2
"11" "CC" "GO:0006482" "protein demethylation" "2/15" "34/18800" 0.000328460057238884 0.0427819224553646 0.0246345042929163 "KDM5D/UTY" 2
"12" "CC" "GO:0008214" "protein dealkylation" "2/15" "34/18800" 0.000328460057238884 0.0427819224553646 0.0246345042929163 "KDM5D/UTY" 2
"13" "CC" "GO:0060517" "epithelial cell proliferation involved in prostatic bud elongation" "1/15" "1/18800" 0.000797872340425498 0.0488866708685043 0.0281497145116148 "SOX9" 1
"14" "CC" "GO:0060784" "regulation of cell proliferation involved in tissue homeostasis" "1/15" "1/18800" 0.000797872340425498 0.0488866708685043 0.0281497145116148 "SOX9" 1
"15" "CC" "GO:0070988" "demethylation" "2/15" "74/18800" 0.00155253283879768 0.0488866708685043 0.0281497145116148 "KDM5D/UTY" 2
"16" "CC" "GO:0007542" "primary sex determination, germ-line" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"17" "CC" "GO:0014036" "neural crest cell fate specification" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"18" "CC" "GO:0018992" "germ-line sex determination" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"19" "CC" "GO:0019100" "male germ-line sex determination" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"20" "CC" "GO:0035622" "intrahepatic bile duct development" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"21" "CC" "GO:0060516" "primary prostatic bud elongation" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"22" "CC" "GO:0060532" "bronchus cartilage development" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"23" "CC" "GO:0061145" "lung smooth muscle development" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"24" "CC" "GO:1904863" "regulation of beta-catenin-TCF complex assembly" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"25" "CC" "GO:1904864" "negative regulation of beta-catenin-TCF complex assembly" "1/15" "2/18800" 0.0015951504889915 0.0488866708685043 0.0281497145116148 "SOX9" 1
"26" "FC" "GO:0002693" "positive regulation of cellular extravasation" "2/23" "18/18800" 0.000216458365130468 0.0432560790273572 0.0347704367301245 "CD99/LYVE1" 2
"27" "FC" "GO:0014072" "response to isoquinoline alkaloid" "2/23" "28/18800" 0.000530814331763437 0.0432560790273572 0.0347704367301245 "RGS4/PCSK1" 2
"28" "FC" "GO:0043278" "response to morphine" "2/23" "28/18800" 0.000530814331763437 0.0432560790273572 0.0347704367301245 "RGS4/PCSK1" 2
"29" "FC" "GO:0070076" "histone lysine demethylation" "2/23" "28/18800" 0.000530814331763437 0.0432560790273572 0.0347704367301245 "KDM5D/UTY" 2
"30" "FC" "GO:0016577" "histone demethylation" "2/23" "32/18800" 0.000694448692260135 0.0432560790273572 0.0347704367301245 "KDM5D/UTY" 2
"31" "FC" "GO:0006482" "protein demethylation" "2/23" "34/18800" 0.000784287472494785 0.0432560790273572 0.0347704367301245 "KDM5D/UTY" 2
"32" "FC" "GO:0008214" "protein dealkylation" "2/23" "34/18800" 0.000784287472494785 0.0432560790273572 0.0347704367301245 "KDM5D/UTY" 2
"33" "FC" "GO:0002691" "regulation of cellular extravasation" "2/23" "39/18800" 0.0010320856835746 0.0432560790273572 0.0347704367301245 "CD99/LYVE1" 2
"34" "FC" "GO:0032595" "B cell receptor transport within lipid bilayer" "1/23" "1/18800" 0.00122340425531919 0.0432560790273572 0.0347704367301245 "CD24" 1
"35" "FC" "GO:0032597" "B cell receptor transport into membrane raft" "1/23" "1/18800" 0.00122340425531919 0.0432560790273572 0.0347704367301245 "CD24" 1
"36" "FC" "GO:0032599" "protein transport out of membrane raft" "1/23" "1/18800" 0.00122340425531919 0.0432560790273572 0.0347704367301245 "CD24" 1
"37" "FC" "GO:0032600" "chemokine receptor transport out of membrane raft" "1/23" "1/18800" 0.00122340425531919 0.0432560790273572 0.0347704367301245 "CD24" 1
