"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0046658" "anchored component of plasma membrane" "1/1" "62/19594" 0.00316423394916809 0.00949270184750428 NA "ULBP1" 1
"2" "AMY" "GO:0031225" "anchored component of membrane" "1/1" "169/19594" 0.00862508931305495 0.0129376339695824 NA "ULBP1" 1
"3" "AMY" "GO:0009897" "external side of plasma membrane" "1/1" "455/19594" 0.0232213943043791 0.0232213943043791 NA "ULBP1" 1
"4" "CBC" "GO:0099055" "integral component of postsynaptic membrane" "2/6" "118/19594" 0.00053096912833834 0.00802569028904535 0.00128001440016672 "DCC/PCDH17" 2
"5" "CBC" "GO:0098936" "intrinsic component of postsynaptic membrane" "2/6" "123/19594" 0.000576726655246566 0.00802569028904535 0.00128001440016672 "DCC/PCDH17" 2
"6" "CBC" "GO:0099699" "integral component of synaptic membrane" "2/6" "149/19594" 0.000844523418790552 0.00802569028904535 0.00128001440016672 "DCC/PCDH17" 2
"7" "CBC" "GO:0099240" "intrinsic component of synaptic membrane" "2/6" "160/19594" 0.000972810944126709 0.00802569028904535 0.00128001440016672 "DCC/PCDH17" 2
"8" "CBC" "GO:0045211" "postsynaptic membrane" "2/6" "271/19594" 0.00275583295620441 0.0164087257391189 0.00261702164898228 "DCC/PCDH17" 2
"9" "CBC" "GO:0014069" "postsynaptic density" "2/6" "318/19594" 0.00377233782180381 0.0164087257391189 0.00261702164898228 "DCC/BCL11A" 2
"10" "CBC" "GO:0032279" "asymmetric synapse" "2/6" "323/19594" 0.00388942157654598 0.0164087257391189 0.00261702164898228 "DCC/BCL11A" 2
"11" "CBC" "GO:0099572" "postsynaptic specialization" "2/6" "341/19594" 0.00432502287438277 0.0164087257391189 0.00261702164898228 "DCC/BCL11A" 2
"12" "CBC" "GO:0098984" "neuron to neuron synapse" "2/6" "347/19594" 0.00447510701975969 0.0164087257391189 0.00261702164898228 "DCC/BCL11A" 2
