"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0043186" "P granule" "1/3" "25/19594" 0.00382301553561248 0.0140177236305791 NA "DDX3Y" 1
"2" "AMY" "GO:0045495" "pole plasm" "1/3" "25/19594" 0.00382301553561248 0.0140177236305791 NA "DDX3Y" 1
"3" "AMY" "GO:0060293" "germ plasm" "1/3" "25/19594" 0.00382301553561248 0.0140177236305791 NA "DDX3Y" 1
"4" "AMY" "GO:0022627" "cytosolic small ribosomal subunit" "1/3" "43/19594" 0.00656954504257523 0.0180662488670819 NA "RPS4Y1" 1
"5" "AMY" "GO:0005844" "polysome" "1/3" "65/19594" 0.00991955295283109 0.0193010308434464 NA "RPS4Y1" 1
"6" "AMY" "GO:0015935" "small ribosomal subunit" "1/3" "69/19594" 0.0105278350055162 0.0193010308434464 NA "RPS4Y1" 1
"7" "AMY" "GO:0022626" "cytosolic ribosome" "1/3" "102/19594" 0.0155366583472879 0.0244147488314524 NA "RPS4Y1" 1
"8" "AMY" "GO:0044391" "ribosomal subunit" "1/3" "178/19594" 0.0270077766391672 0.0371356928788549 NA "RPS4Y1" 1
"9" "AMY" "GO:0005840" "ribosome" "1/3" "229/19594" 0.0346553224379292 0.039433262251696 NA "RPS4Y1" 1
"10" "AMY" "GO:0036464" "cytoplasmic ribonucleoprotein granule" "1/3" "243/19594" 0.0367476158844118 0.039433262251696 NA "DDX3Y" 1
"11" "AMY" "GO:0035770" "ribonucleoprotein granule" "1/3" "261/19594" 0.039433262251696 0.039433262251696 NA "DDX3Y" 1
"12" "MED" "GO:0098983" "symmetric, GABA-ergic, inhibitory synapse" "1/7" "4/19594" 0.0014283525799641 0.0375716515308494 0.0145707235853709 "NLGN4Y" 1
"13" "MED" "GO:0098985" "asymmetric, glutamatergic, excitatory synapse" "1/7" "6/19594" 0.00214187284877021 0.0375716515308494 0.0145707235853709 "NLGN4Y" 1
"14" "MED" "GO:0032280" "symmetric synapse" "1/7" "10/19594" 0.0035676024600354 0.0375716515308494 0.0145707235853709 "NLGN4Y" 1
"15" "MED" "GO:0044666" "MLL3/4 complex" "1/7" "14/19594" 0.00499158565644819 0.0375716515308494 0.0145707235853709 "UTY" 1
"16" "MED" "GO:0060077" "inhibitory synapse" "1/7" "19/19594" 0.00676911147231329 0.0375716515308494 0.0145707235853709 "NLGN4Y" 1
"17" "MED" "GO:0089717" "spanning component of membrane" "1/7" "21/19594" 0.00747935930170884 0.0375716515308494 0.0145707235853709 "NLGN4Y" 1
"18" "MED" "GO:0043186" "P granule" "1/7" "25/19594" 0.00889854904678011 0.0375716515308494 0.0145707235853709 "DDX3Y" 1
"19" "MED" "GO:0045495" "pole plasm" "1/7" "25/19594" 0.00889854904678011 0.0375716515308494 0.0145707235853709 "DDX3Y" 1
"20" "MED" "GO:0060293" "germ plasm" "1/7" "25/19594" 0.00889854904678011 0.0375716515308494 0.0145707235853709 "DDX3Y" 1
"21" "OC" "GO:0098983" "symmetric, GABA-ergic, inhibitory synapse" "1/9" "4/19594" 0.00183617212210785 0.0482473208737799 0.0240568358927435 "NLGN4Y" 1
"22" "OC" "GO:0098985" "asymmetric, glutamatergic, excitatory synapse" "1/9" "6/19594" 0.00275313384331854 0.0482473208737799 0.0240568358927435 "NLGN4Y" 1
"23" "OC" "GO:0032280" "symmetric synapse" "1/9" "10/19594" 0.00458481128351051 0.0482473208737799 0.0240568358927435 "NLGN4Y" 1
"24" "OC" "GO:0044666" "MLL3/4 complex" "1/9" "14/19594" 0.00641349762017496 0.0482473208737799 0.0240568358927435 "UTY" 1
"25" "OC" "GO:0060077" "inhibitory synapse" "1/9" "19/19594" 0.00869515581348468 0.0482473208737799 0.0240568358927435 "NLGN4Y" 1
"26" "OC" "GO:0089717" "spanning component of membrane" "1/9" "21/19594" 0.0096065142211651 0.0482473208737799 0.0240568358927435 "NLGN4Y" 1
"27" "OC" "GO:0043186" "P granule" "1/9" "25/19594" 0.0114269970490531 0.0482473208737799 0.0240568358927435 "DDX3Y" 1
"28" "OC" "GO:0045495" "pole plasm" "1/9" "25/19594" 0.0114269970490531 0.0482473208737799 0.0240568358927435 "DDX3Y" 1
"29" "OC" "GO:0060293" "germ plasm" "1/9" "25/19594" 0.0114269970490531 0.0482473208737799 0.0240568358927435 "DDX3Y" 1
