"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0071557" "histone H3-K27 demethylation" "1/5" "5/18800" 0.00132922142734104 0.025571183497828 0.00615246520248493 "UTY" 1
"2" "AMY" "GO:0097105" "presynaptic membrane assembly" "1/5" "10/18800" 0.00265702901509079 0.025571183497828 0.00615246520248493 "NLGN4Y" 1
"3" "AMY" "GO:0097090" "presynaptic membrane organization" "1/5" "11/18800" 0.00292242097118034 0.025571183497828 0.00615246520248493 "NLGN4Y" 1
"4" "AMY" "GO:0097104" "postsynaptic membrane assembly" "1/5" "11/18800" 0.00292242097118034 0.025571183497828 0.00615246520248493 "NLGN4Y" 1
"5" "AMY" "GO:0007158" "neuron cell-cell adhesion" "1/5" "17/18800" 0.00451358653537359 0.0278217362498624 0.00669395157891426 "NLGN4Y" 1
"6" "AMY" "GO:0071625" "vocalization behavior" "1/5" "19/18800" 0.0050435233980477 0.0278217362498624 0.00669395157891426 "NLGN4Y" 1
"7" "AMY" "GO:0070076" "histone lysine demethylation" "1/5" "28/18800" 0.00742544717034477 0.0278217362498624 0.00669395157891426 "UTY" 1
"8" "AMY" "GO:0099068" "postsynapse assembly" "1/5" "29/18800" 0.00768982351618652 0.0278217362498624 0.00669395157891426 "NLGN4Y" 1
"9" "AMY" "GO:0016577" "histone demethylation" "1/5" "32/18800" 0.00848261456659283 0.0278217362498624 0.00669395157891426 "UTY" 1
"10" "AMY" "GO:0006482" "protein demethylation" "1/5" "34/18800" 0.0090108603676281 0.0278217362498624 0.00669395157891426 "UTY" 1
"11" "AMY" "GO:0008214" "protein dealkylation" "1/5" "34/18800" 0.0090108603676281 0.0278217362498624 0.00669395157891426 "UTY" 1
"12" "AMY" "GO:0001941" "postsynaptic membrane organization" "1/5" "36/18800" 0.00953888099995281 0.0278217362498624 0.00669395157891426 "NLGN4Y" 1
"13" "AMY" "GO:0099054" "presynapse assembly" "1/5" "50/18800" 0.0132287267477805 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"14" "AMY" "GO:0035176" "social behavior" "1/5" "52/18800" 0.0137549486208667 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"15" "AMY" "GO:0099172" "presynapse organization" "1/5" "52/18800" 0.0137549486208667 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"16" "AMY" "GO:0051703" "biological process involved in intraspecies interaction between organisms" "1/5" "54/18800" 0.0142809459726229 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"17" "AMY" "GO:0071709" "membrane assembly" "1/5" "58/18800" 0.0153322673995484 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"18" "AMY" "GO:0048488" "synaptic vesicle endocytosis" "1/5" "61/18800" 0.0161201696355591 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"19" "AMY" "GO:0140238" "presynaptic endocytosis" "1/5" "61/18800" 0.0161201696355591 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"20" "AMY" "GO:0044091" "membrane biogenesis" "1/5" "62/18800" 0.0163826916032107 0.0286697103056187 0.00689797541187819 "NLGN4Y" 1
"21" "AMY" "GO:0036465" "synaptic vesicle recycling" "1/5" "73/18800" 0.0192667365444419 0.0310682059823118 0.00747505707845097 "NLGN4Y" 1
"22" "AMY" "GO:0070988" "demethylation" "1/5" "74/18800" 0.0195285866174532 0.0310682059823118 0.00747505707845097 "UTY" 1
"23" "AMY" "GO:0006413" "translational initiation" "1/5" "120/18800" 0.031513371600014 0.0479551306956735 0.0115380765583575 "EIF1AY" 1
"24" "CBC" "GO:0070076" "histone lysine demethylation" "2/10" "28/18800" 9.55514836108575e-05 0.00746777905571454 0.0049176694205753 "UTY/KDM5D" 2
"25" "CBC" "GO:0016577" "histone demethylation" "2/10" "32/18800" 0.000125237478071169 0.00746777905571454 0.0049176694205753 "UTY/KDM5D" 2
"26" "CBC" "GO:0006482" "protein demethylation" "2/10" "34/18800" 0.00014156927119838 0.00746777905571454 0.0049176694205753 "UTY/KDM5D" 2
"27" "CBC" "GO:0008214" "protein dealkylation" "2/10" "34/18800" 0.00014156927119838 0.00746777905571454 0.0049176694205753 "UTY/KDM5D" 2
"28" "CBC" "GO:0032595" "B cell receptor transport within lipid bilayer" "1/10" "1/18800" 0.000531914893616703 0.0112234042553124 0.0073908174692005 "CD24" 1
"29" "CBC" "GO:0032597" "B cell receptor transport into membrane raft" "1/10" "1/18800" 0.000531914893616703 0.0112234042553124 0.0073908174692005 "CD24" 1
"30" "CBC" "GO:0032599" "protein transport out of membrane raft" "1/10" "1/18800" 0.000531914893616703 0.0112234042553124 0.0073908174692005 "CD24" 1
"31" "CBC" "GO:0032600" "chemokine receptor transport out of membrane raft" "1/10" "1/18800" 0.000531914893616703 0.0112234042553124 0.0073908174692005 "CD24" 1
"32" "CBC" "GO:0032913" "negative regulation of transforming growth factor beta3 production" "1/10" "1/18800" 0.000531914893616703 0.0112234042553124 0.0073908174692005 "CD24" 1
"33" "CBC" "GO:0033606" "chemokine receptor transport within lipid bilayer" "1/10" "1/18800" 0.000531914893616703 0.0112234042553124 0.0073908174692005 "CD24" 1
"34" "CBC" "GO:0070988" "demethylation" "2/10" "74/18800" 0.000673907431840788 0.012926769828946 0.00851251492851522 "UTY/KDM5D" 2
"35" "CBC" "GO:0072139" "glomerular parietal epithelial cell differentiation" "1/10" "3/18800" 0.00159498082826359 0.0258877657510475 0.0170475683668659 "CD24" 1
"36" "CBC" "GO:2000768" "positive regulation of nephron tubule epithelial cell differentiation" "1/10" "3/18800" 0.00159498082826359 0.0258877657510475 0.0170475683668659 "CD24" 1
"37" "CBC" "GO:0032596" "protein transport into membrane raft" "1/10" "4/18800" 0.00212613208600232 0.0280383668841556 0.0184637786415991 "CD24" 1
