"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0071558" "histone H3-tri/di-methyl-lysine-27 demethylase activity" "1/5" "5/18410" 0.00135736760017913 0.0285047196037617 0.00428642400056566 "UTY" 1
"2" "AMY" "GO:0042043" "neurexin family protein binding" "1/5" "15/18410" 0.00406768092870857 0.0395655471199615 0.0059497063338288 "NLGN4Y" 1
"3" "AMY" "GO:0032452" "histone demethylase activity" "1/5" "30/18410" 0.00812211425313303 0.0395655471199615 0.0059497063338288 "UTY" 1
"4" "AMY" "GO:0140457" "protein demethylase activity" "1/5" "30/18410" 0.00812211425313303 0.0395655471199615 0.0059497063338288 "UTY" 1
"5" "AMY" "GO:0032451" "demethylase activity" "1/5" "40/18410" 0.0108177260173244 0.0395655471199615 0.0059497063338288 "UTY" 1
"6" "AMY" "GO:0003743" "translation initiation factor activity" "1/5" "51/18410" 0.0137761265829806 0.0395655471199615 0.0059497063338288 "EIF1AY" 1
"7" "AMY" "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" "1/5" "59/18410" 0.0159232413816502 0.0395655471199615 0.0059497063338288 "UTY" 1
"8" "AMY" "GO:0019843" "rRNA binding" "1/5" "66/18410" 0.0177988976870762 0.0395655471199615 0.0059497063338288 "RPS4Y1" 1
"9" "AMY" "GO:0097110" "scaffold protein binding" "1/5" "67/18410" 0.0180666149522074 0.0395655471199615 0.0059497063338288 "NLGN4Y" 1
"10" "AMY" "GO:0003724" "RNA helicase activity" "1/5" "77/18410" 0.0207405782645427 0.0395655471199615 0.0059497063338288 "DDX3Y" 1
"11" "AMY" "GO:0008186" "ATP-dependent activity, acting on RNA" "1/5" "79/18410" 0.0212746712038681 0.0395655471199615 0.0059497063338288 "DDX3Y" 1
"12" "AMY" "GO:0008135" "translation factor activity, RNA binding" "1/5" "84/18410" 0.0226088840685494 0.0395655471199615 0.0059497063338288 "EIF1AY" 1
"13" "AMY" "GO:0051213" "dioxygenase activity" "1/5" "93/18410" 0.0250068002867285 0.0403956004631768 0.00607452638544013 "UTY" 1
"14" "AMY" "GO:0031490" "chromatin DNA binding" "1/5" "105/18410" 0.0281966984357147 0.040590013691719 0.00610376145740136 "UTY" 1
"15" "AMY" "GO:0090079" "translation regulator activity, nucleic acid binding" "1/5" "108/18410" 0.0289928669226565 0.040590013691719 0.00610376145740136 "EIF1AY" 1
