"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "CBC" "GO:0043177" "organic acid binding" "6/106" "141/18410" 0.000165118172799482 0.0144716203048825 0.0104471512158291 "HBB/GLRA1/S100A8/S100A9/HBD/GLRA2" 6
"2" "CBC" "GO:0016933" "extracellularly glycine-gated ion channel activity" "2/106" "4/18410" 0.000195562436552467 0.0144716203048825 0.0104471512158291 "GLRA1/GLRA2" 2
"3" "CBC" "GO:0016934" "extracellularly glycine-gated chloride channel activity" "2/106" "4/18410" 0.000195562436552467 0.0144716203048825 0.0104471512158291 "GLRA1/GLRA2" 2
"4" "CBC" "GO:0035662" "Toll-like receptor 4 binding" "2/106" "4/18410" 0.000195562436552467 0.0144716203048825 0.0104471512158291 "S100A8/S100A9" 2
"5" "CBC" "GO:0031721" "hemoglobin alpha binding" "2/106" "5/18410" 0.000324710819148218 0.0192228804935745 0.013877115007808 "HBB/HBD" 2
"6" "CBC" "GO:0050543" "icosatetraenoic acid binding" "2/106" "6/18410" 0.000485234083878239 0.0205184698325655 0.0148124088762831 "S100A8/S100A9" 2
"7" "CBC" "GO:0050544" "arachidonic acid binding" "2/106" "6/18410" 0.000485234083878239 0.0205184698325655 0.0148124088762831 "S100A8/S100A9" 2
"8" "CBC" "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" "3/106" "29/18410" 0.000607940470099567 0.0222583275136881 0.0160684227783737 "GLRA1/CHRNB4/GLRA2" 3
"9" "CBC" "GO:0050542" "icosanoid binding" "2/106" "7/18410" 0.000676773471699978 0.0222583275136881 0.0160684227783737 "S100A8/S100A9" 2
"10" "CBC" "GO:0030492" "hemoglobin binding" "2/106" "9/18410" 0.0011514806758923 0.034083828006412 0.0246053239164354 "HBB/HBD" 2
"11" "CBC" "GO:0031720" "haptoglobin binding" "2/106" "10/18410" 0.00143394600260928 0.0353706680643623 0.0255343016254109 "HBB/HBD" 2
"12" "CBC" "GO:0050786" "RAGE receptor binding" "2/106" "10/18410" 0.00143394600260928 0.0353706680643623 0.0255343016254109 "S100A8/S100A9" 2
"13" "CBC" "GO:0016594" "glycine binding" "2/106" "12/18410" 0.00208736609088122 0.0441328830643459 0.0318597982292397 "GLRA1/GLRA2" 2
"14" "CBC" "GO:0035325" "Toll-like receptor binding" "2/106" "12/18410" 0.00208736609088122 0.0441328830643459 0.0318597982292397 "S100A8/S100A9" 2
