"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0110157" "reelin complex" "1/14" "1/19594" 0.000714504440134767 0.033581708686334 0.0203069682985671 "RELN" 1
"2" "CBC" "GO:0030672" "synaptic vesicle membrane" "3/30" "103/19594" 0.000516574566618939 0.029703037580589 0.0206629826647576 "SYNPR/SYNGR4/SLC17A7" 3
"3" "CBC" "GO:0099501" "exocytic vesicle membrane" "3/30" "103/19594" 0.000516574566618939 0.029703037580589 0.0206629826647576 "SYNPR/SYNGR4/SLC17A7" 3
"4" "HIP" "GO:0000786" "nucleosome" "11/78" "129/19594" 3.49661891331048e-12 7.13310258315337e-10 5.22652511252724e-10 "H4C1/H3C1/H3C12/H2AC12/H3C3/H2AC4/H4C4/H4C2/H2BC14/H3C10/H2BC4" 11
"5" "HIP" "GO:0044815" "DNA packaging complex" "12/78" "198/19594" 1.9667357691075e-11 2.00607048448965e-09 1.46987620638561e-09 "H4C1/H3C1/H3C12/H2AC12/H3C3/H2AC4/H4C4/H4C2/H2BC14/H3C10/H2BC4/BCL11B" 12
"6" "HIP" "GO:0032993" "protein-DNA complex" "12/78" "220/19594" 6.72870625927146e-11 4.57552025630459e-09 3.35254838181244e-09 "H4C1/H3C1/H3C12/H2AC12/H3C3/H2AC4/H4C4/H4C2/H2BC14/H3C10/TCF7L2/H2BC4" 12
"7" "HIP" "GO:0043505" "CENP-A containing nucleosome" "4/78" "18/19594" 6.81444724530312e-07 2.78029447608367e-05 2.03716107122746e-05 "H4C1/H2AC4/H4C4/H4C2" 4
"8" "HIP" "GO:0061638" "CENP-A containing chromatin" "4/78" "18/19594" 6.81444724530312e-07 2.78029447608367e-05 2.03716107122746e-05 "H4C1/H2AC4/H4C4/H4C2" 4
"9" "HIP" "GO:0034506" "chromosome, centromeric core domain" "4/78" "19/19594" 8.60557966338799e-07 2.92589708555192e-05 2.14384616175631e-05 "H4C1/H2AC4/H4C4/H4C2" 4
"10" "HIP" "GO:0000228" "nuclear chromosome" "7/78" "228/19594" 3.45173598465383e-05 0.00100593448695626 0.000737062420783224 "H4C1/H3C1/H3C12/H3C3/H4C4/H4C2/H3C10" 7
"11" "HIP" "GO:0032437" "cuticular plate" "2/78" "9/19594" 0.000553093431396149 0.0141038825006018 0.010334114112928 "PVALB/CALB1" 2
"12" "HIP" "GO:0022626" "cytosolic ribosome" "4/78" "102/19594" 0.000734819228925275 0.0166559025223062 0.0122040152640221 "RPS4Y1/RPL35/RPL36/RPS4Y2" 4
"13" "MED" "GO:0022627" "cytosolic small ribosomal subunit" "2/11" "43/19594" 0.000255506824254461 0.00970925932166951 0.00457222738139561 "RPS4Y1/RPS4Y2" 2
"14" "MED" "GO:0015935" "small ribosomal subunit" "2/11" "69/19594" 0.000658543132171596 0.0125123195112603 0.00589222802469323 "RPS4Y1/RPS4Y2" 2
"15" "MED" "GO:0022626" "cytosolic ribosome" "2/11" "102/19594" 0.00143139054365686 0.0181309468863202 0.00853811903233915 "RPS4Y1/RPS4Y2" 2
"16" "MED" "GO:0098983" "symmetric, GABA-ergic, inhibitory synapse" "1/11" "4/19594" 0.00224386673548649 0.0213167339871216 0.0100383511850711 "NLGN4Y" 1
"17" "MED" "GO:0098985" "asymmetric, glutamatergic, excitatory synapse" "1/11" "6/19594" 0.00336408277099542 0.0255670290595652 0.0120398751804047 "NLGN4Y" 1
"18" "MED" "GO:0044391" "ribosomal subunit" "2/11" "178/19594" 0.00427681865289072 0.0270865181349746 0.0127554240524811 "RPS4Y1/RPS4Y2" 2
"19" "MED" "GO:0032280" "symmetric synapse" "1/11" "10/19594" 0.00560108543495252 0.0304058923611708 0.0143185642698034 "NLGN4Y" 1
"20" "MED" "GO:0005840" "ribosome" "2/11" "229/19594" 0.00697773815175355 0.0330748730143085 0.0155754249651868 "RPS4Y1/RPS4Y2" 2
"21" "MED" "GO:0044666" "MLL3/4 complex" "1/11" "14/19594" 0.00783352255602043 0.0330748730143085 0.0155754249651868 "UTY" 1
"22" "MED" "GO:0060077" "inhibitory synapse" "1/11" "19/19594" 0.0106176614396954 0.0378622553967203 0.0178298709624444 "NLGN4Y" 1
"23" "MED" "GO:0089717" "spanning component of membrane" "1/11" "21/19594" 0.0117293269016004 0.0378622553967203 0.0178298709624444 "NLGN4Y" 1
"24" "MED" "GO:0043186" "P granule" "1/11" "25/19594" 0.0139492519882654 0.0378622553967203 0.0178298709624444 "DDX3Y" 1
"25" "MED" "GO:0045495" "pole plasm" "1/11" "25/19594" 0.0139492519882654 0.0378622553967203 0.0178298709624444 "DDX3Y" 1
"26" "MED" "GO:0060293" "germ plasm" "1/11" "25/19594" 0.0139492519882654 0.0378622553967203 0.0178298709624444 "DDX3Y" 1
"27" "OC" "GO:0000786" "nucleosome" "6/37" "129/19594" 1.4246219802888e-07 8.85442532394135e-06 6.24137123398121e-06 "H2BC3/H4C1/H2BC4/H2AC12/H3C1/H2BC14" 6
"28" "OC" "GO:0032993" "protein-DNA complex" "7/37" "220/19594" 1.58114737927524e-07 8.85442532394135e-06 6.24137123398121e-06 "H2BC3/H4C1/ST18/H2BC4/H2AC12/H3C1/H2BC14" 7
"29" "OC" "GO:0044815" "DNA packaging complex" "6/37" "198/19594" 1.76765829489505e-06 6.59925763427487e-05 4.65173235498699e-05 "H2BC3/H4C1/H2BC4/H2AC12/H3C1/H2BC14" 6
"30" "OC" "GO:0097449" "astrocyte projection" "2/37" "19/19594" 0.000581414681830368 0.0159560041553009 0.0112471833801463 "SLC7A11/KCNJ10" 2
"31" "OC" "GO:0089717" "spanning component of membrane" "2/37" "21/19594" 0.000712321614075932 0.0159560041553009 0.0112471833801463 "NLGN4Y/SLC4A4" 2
"32" "OC" "GO:0097386" "glial cell projection" "2/37" "33/19594" 0.00176562019306932 0.0329582436039607 0.023231844645649 "SLC7A11/KCNJ10" 2
"33" "OC" "GO:0022627" "cytosolic small ribosomal subunit" "2/37" "43/19594" 0.00298398273648688 0.0477437237837901 0.0336539406370701 "RPS4Y1/RPS4Y2" 2
"34" "PL" "GO:0097449" "astrocyte projection" "3/42" "19/19594" 8.6643562673481e-06 0.00119568116489404 0.000930278251862638 "AQP4/SLC7A11/KCNJ10" 3
"35" "PL" "GO:0097386" "glial cell projection" "3/42" "33/19594" 4.7776511687455e-05 0.00329657930643439 0.00256484431164232 "AQP4/SLC7A11/KCNJ10" 3
"36" "TC" "GO:0097449" "astrocyte projection" "3/55" "19/19594" 1.96433812637765e-05 0.00398760639654664 0.00324632721938202 "GFAP/SLC7A11/KCNJ10" 3
"37" "TC" "GO:0097386" "glial cell projection" "3/55" "33/19594" 0.00010756634391141 0.0109179839070081 0.00888837683899544 "GFAP/SLC7A11/KCNJ10" 3
"38" "THA" "GO:0062167" "complement component C1q complex" "2/75" "3/19594" 4.32623456653815e-05 0.0102531759226954 0.00619334632683356 "C1QB/C1QC" 2
