"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "hsa04650" "Natural killer cell mediated cytotoxicity" "1/1" "131/8159" 0.0160558892021082 0.0160558892021082 NA "80329" 1
"2" "CBC" "hsa04360" "Axon guidance" "2/3" "182/8159" 0.00146289814591703 0.00585159258366813 NA "223117/1630" 2
"3" "CBC" "hsa05143" "African trypanosomiasis" "1/3" "37/8159" 0.0135446592281981 0.0243658636456499 NA "3043" 1
"4" "CBC" "hsa05144" "Malaria" "1/3" "50/8159" 0.0182743977342374 0.0243658636456499 NA "3043" 1
"5" "CBC" "hsa05210" "Colorectal cancer" "1/3" "86/8159" 0.0312931815914342 0.0312931815914342 NA "1630" 1
"6" "OC" "hsa04520" "Adherens junction" "3/9" "71/8159" 5.10977416922031e-05 0.00250378934291795 0.00209769676420623 "4008/6591/4233" 3
"7" "OC" "hsa05033" "Nicotine addiction" "2/9" "40/8159" 0.000825579076548739 0.0202266873754441 0.0169460968344215 "2557/2904" 2
"8" "PL" "hsa05033" "Nicotine addiction" "2/13" "40/8159" 0.00176669248415039 0.0386196671455912 0.035440450282054 "2557/2903" 2
"9" "PL" "hsa04080" "Neuroactive ligand-receptor interaction" "4/13" "362/8159" 0.00198049575105596 0.0386196671455912 0.035440450282054 "84539/2557/6751/2903" 4
"10" "STR" "hsa04216" "Ferroptosis" "2/7" "41/8159" 0.000509230355142319 0.00916614639256174 0.00804047929172082 "23657/1356" 2
"11" "THA" "hsa04080" "Neuroactive ligand-receptor interaction" "8/41" "362/8159" 0.000366594244236919 0.0322602934928489 0.0320287602859624 "9248/3350/1392/84109/183/1143/7200/2846" 8
