"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "CC" "hsa04512" "ECM-receptor interaction" "3/11" "88/8159" 0.000187936431987732 0.00526222009565649 0.00375872863975464 "7450/6385/1277" 3
"2" "CC" "hsa04950" "Maturity onset diabetes of the young" "2/11" "26/8159" 0.000527698407264317 0.00738777770170044 0.00527698407264317 "5080/3280" 2
"3" "CC" "hsa05171" "Coronavirus disease - COVID-19" "3/11" "232/8159" 0.00316205526621158 0.0295125158179747 0.0210803684414105 "6192/140032/7450" 3
"4" "HIP" "hsa05322" "Systemic lupus erythematosus" "12/44" "136/8159" 3.77349141609871e-12 2.75464873375206e-10 2.46269966103284e-10 "8359/8350/8356/85235/8352/8335/8360/8366/8342/8357/8347/730" 12
"5" "HIP" "hsa05034" "Alcoholism" "11/44" "187/8159" 2.71191538858199e-09 7.81059414389858e-08 6.98279505294465e-08 "8359/8350/8356/85235/8352/8335/8360/8366/8342/8357/8347" 11
"6" "HIP" "hsa04613" "Neutrophil extracellular trap formation" "11/44" "190/8159" 3.20983320982133e-09 7.81059414389858e-08 6.98279505294465e-08 "8359/8350/8356/85235/8352/8335/8360/8366/8342/8357/8347" 11
"7" "MED" "hsa03010" "Ribosome" "2/4" "158/8159" 0.00217946736730447 0.00871786946921789 0.00458835235221994 "6192/140032" 2
"8" "MED" "hsa05171" "Coronavirus disease - COVID-19" "2/4" "232/8159" 0.00465121921847588 0.00930243843695176 0.00489602022997461 "6192/140032" 2
"9" "OC" "hsa05322" "Systemic lupus erythematosus" "6/18" "136/8159" 3.024669965202e-07 1.08888118747272e-05 9.23320305166928e-06 "3018/8359/8347/85235/8350/8342" 6
"10" "OC" "hsa05034" "Alcoholism" "6/18" "187/8159" 1.97495799142952e-06 2.60077642109037e-05 2.20533673133394e-05 "3018/8359/8347/85235/8350/8342" 6
"11" "OC" "hsa04613" "Neutrophil extracellular trap formation" "6/18" "190/8159" 2.16731368424198e-06 2.60077642109037e-05 2.20533673133394e-05 "3018/8359/8347/85235/8350/8342" 6
"12" "OC" "hsa05203" "Viral carcinogenesis" "5/18" "204/8159" 6.11328720281255e-05 0.000550195848253129 0.00046654033916201 "3018/8359/8347/991/8342" 5
"13" "THA" "hsa04610" "Complement and coagulation cascades" "4/36" "85/8159" 0.000501251716530397 0.0393279870015382 0.0359617956632885 "713/719/11326/714" 4
"14" "THA" "hsa05150" "Staphylococcus aureus infection" "4/36" "96/8159" 0.000794504787909862 0.0393279870015382 0.0359617956632885 "3113/713/719/714" 4
"15" "THA" "hsa00565" "Ether lipid metabolism" "3/36" "49/8159" 0.00126448789385836 0.0417281004973259 0.0381564767971295 "7941/7368/5168" 3
