"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "FC" "GO:0062023" "collagen-containing extracellular matrix" "1/1" "429/19594" 0.0218944574869858 0.0218944574869858 NA "GREM1" 1
"2" "HIP" "GO:0072562" "blood microparticle" "3/10" "147/19594" 4.77669896721337e-05 0.00267495142163948 0.00165927437808464 "CP/AGT/SERPINA3" 3
"3" "HIP" "GO:0062023" "collagen-containing extracellular matrix" "3/10" "429/19594" 0.0011152746095852 0.0312276890683855 0.019370559008585 "S100A8/AGT/SERPINA3" 3
"4" "OC" "GO:1902711" "GABA-A receptor complex" "1/1" "19/19594" 0.000969684597325715 0.0112279269164033 NA "GABRA4" 1
"5" "OC" "GO:1902710" "GABA receptor complex" "1/1" "21/19594" 0.00107175666020209 0.0112279269164033 NA "GABRA4" 1
"6" "OC" "GO:0032590" "dendrite membrane" "1/1" "41/19594" 0.00209247728896611 0.0112279269164033 NA "GABRA4" 1
"7" "OC" "GO:0034707" "chloride channel complex" "1/1" "52/19594" 0.0026538736347862 0.0112279269164033 NA "GABRA4" 1
"8" "OC" "GO:0032589" "neuron projection membrane" "1/1" "58/19594" 0.00296008982341533 0.0112279269164033 NA "GABRA4" 1
"9" "OC" "GO:0098982" "GABA-ergic synapse" "1/1" "70/19594" 0.00357252220067361 0.0112279269164033 NA "GABRA4" 1
"10" "OC" "GO:0099060" "integral component of postsynaptic specialization membrane" "1/1" "77/19594" 0.00392977442074094 0.0112279269164033 NA "GABRA4" 1
"11" "OC" "GO:0098948" "intrinsic component of postsynaptic specialization membrane" "1/1" "80/19594" 0.00408288251505573 0.0112279269164033 NA "GABRA4" 1
"12" "OC" "GO:0099634" "postsynaptic specialization membrane" "1/1" "116/19594" 0.00592017964683056 0.012554863733796 NA "GABRA4" 1
"13" "OC" "GO:0099055" "integral component of postsynaptic membrane" "1/1" "118/19594" 0.00602225170970705 0.012554863733796 NA "GABRA4" 1
"14" "OC" "GO:0098936" "intrinsic component of postsynaptic membrane" "1/1" "123/19594" 0.006277431866898 0.012554863733796 NA "GABRA4" 1
"15" "OC" "GO:0099699" "integral component of synaptic membrane" "1/1" "149/19594" 0.00760436868429115 0.0138189869740344 NA "GABRA4" 1
"16" "OC" "GO:0099240" "intrinsic component of synaptic membrane" "1/1" "160/19594" 0.00816576503011124 0.0138189869740344 NA "GABRA4" 1
"17" "OC" "GO:0031256" "leading edge membrane" "1/1" "175/19594" 0.00893130550168419 0.0140349086455037 NA "GABRA4" 1
"18" "OC" "GO:0045211" "postsynaptic membrane" "1/1" "271/19594" 0.0138307645197511 0.0202851212956349 NA "GABRA4" 1
"19" "OC" "GO:0034702" "ion channel complex" "1/1" "294/19594" 0.0150045932428293 0.0206313157088903 NA "GABRA4" 1
"20" "OC" "GO:0031253" "cell projection membrane" "1/1" "339/19594" 0.0173012146575482 0.0211646422374195 NA "GABRA4" 1
"21" "OC" "GO:0099572" "postsynaptic specialization" "1/1" "341/19594" 0.0174032867204247 0.0211646422374195 NA "GABRA4" 1
"22" "OC" "GO:0097060" "synaptic membrane" "1/1" "373/19594" 0.0190364397264469 0.0211646422374195 NA "GABRA4" 1
"23" "OC" "GO:1902495" "transmembrane transporter complex" "1/1" "377/19594" 0.0192405838521995 0.0211646422374195 NA "GABRA4" 1
"24" "OC" "GO:1990351" "transporter complex" "1/1" "399/19594" 0.02036337654384 0.0212309890782892 NA "GABRA4" 1
"25" "OC" "GO:0031252" "cell leading edge" "1/1" "416/19594" 0.0212309890782892 0.0212309890782892 NA "GABRA4" 1
"26" "TC" "GO:0042627" "chylomicron" "1/5" "13/19594" 0.00331328082163618 0.0438524003900056 0.0157620951337633 "LPL" 1
"27" "TC" "GO:1902711" "GABA-A receptor complex" "1/5" "19/19594" 0.00483952226504425 0.0438524003900056 0.0157620951337633 "GABRA4" 1
"28" "TC" "GO:0034361" "very-low-density lipoprotein particle" "1/5" "20/19594" 0.00509371395795244 0.0438524003900056 0.0157620951337633 "LPL" 1
"29" "TC" "GO:0034385" "triglyceride-rich plasma lipoprotein particle" "1/5" "20/19594" 0.00509371395795244 0.0438524003900056 0.0157620951337633 "LPL" 1
"30" "TC" "GO:1902710" "GABA receptor complex" "1/5" "21/19594" 0.00534785370609825 0.0438524003900056 0.0157620951337633 "GABRA4" 1
"31" "TC" "GO:0034358" "plasma lipoprotein particle" "1/5" "36/19594" 0.00915372196886477 0.0474677614984881 0.0170615830803295 "LPL" 1
"32" "TC" "GO:1990777" "lipoprotein particle" "1/5" "36/19594" 0.00915372196886477 0.0474677614984881 0.0170615830803295 "LPL" 1
"33" "TC" "GO:0032994" "protein-lipid complex" "1/5" "39/19594" 0.00991349569081523 0.0474677614984881 0.0170615830803295 "LPL" 1
"34" "TC" "GO:0032590" "dendrite membrane" "1/5" "41/19594" 0.0104197525240584 0.0474677614984881 0.0170615830803295 "GABRA4" 1
