"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "CBC" "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" "1/1" "321/18410" 0.0174361759913091 0.0176534492123845 NA "FOXP2" 1
"2" "CBC" "GO:0001217" "DNA-binding transcription repressor activity" "1/1" "325/18410" 0.0176534492123845 0.0176534492123845 NA "FOXP2" 1
"3" "FC" "GO:0016015" "morphogen activity" "1/1" "8/18410" 0.000434546442151018 0.00260727865290633 NA "GREM1" 1
"4" "FC" "GO:0030297" "transmembrane receptor protein tyrosine kinase activator activity" "1/1" "8/18410" 0.000434546442151018 0.00260727865290633 NA "GREM1" 1
"5" "FC" "GO:0043184" "vascular endothelial growth factor receptor 2 binding" "1/1" "9/18410" 0.000488864747419937 0.00260727865290633 NA "GREM1" 1
"6" "FC" "GO:0005172" "vascular endothelial growth factor receptor binding" "1/1" "14/18410" 0.000760456273764309 0.00289697628100694 NA "GREM1" 1
"7" "FC" "GO:0036122" "BMP binding" "1/1" "17/18410" 0.000923411189570955 0.00289697628100694 NA "GREM1" 1
"8" "FC" "GO:0030296" "protein tyrosine kinase activator activity" "1/1" "20/18410" 0.0010863661053776 0.00289697628100694 NA "GREM1" 1
"9" "FC" "GO:0030295" "protein kinase activator activity" "1/1" "104/18410" 0.00564910374796301 0.0119500271591526 NA "GREM1" 1
"10" "FC" "GO:0019209" "kinase activator activity" "1/1" "110/18410" 0.0059750135795763 0.0119500271591526 NA "GREM1" 1
"11" "FC" "GO:0070851" "growth factor receptor binding" "1/1" "139/18410" 0.00755024443237362 0.0122542096686585 NA "GREM1" 1
"12" "FC" "GO:0019955" "cytokine binding" "1/1" "141/18410" 0.00765888104291157 0.0122542096686585 NA "GREM1" 1
"13" "FC" "GO:0019887" "protein kinase regulator activity" "1/1" "207/18410" 0.0112438891906572 0.0157105252162286 NA "GREM1" 1
"14" "FC" "GO:0005125" "cytokine activity" "1/1" "235/18410" 0.0127648017381857 0.0157105252162286 NA "GREM1" 1
"15" "FC" "GO:0019207" "kinase regulator activity" "1/1" "235/18410" 0.0127648017381857 0.0157105252162286 NA "GREM1" 1
"16" "FC" "GO:0005126" "cytokine receptor binding" "1/1" "272/18410" 0.0147745790331344 0.016885233180725 NA "GREM1" 1
"17" "FC" "GO:0048018" "receptor ligand activity" "1/1" "489/18410" 0.0265616512764801 0.0269418794133623 NA "GREM1" 1
"18" "FC" "GO:0030546" "signaling receptor activator activity" "1/1" "496/18410" 0.0269418794133623 0.0269418794133623 NA "GREM1" 1
"19" "HIP" "GO:0031703" "type 2 angiotensin receptor binding" "1/9" "1/18410" 0.000488864747420492 0.0114216979129338 0.00163273134557858 "AGT" 1
"20" "HIP" "GO:0022852" "glycine-gated chloride ion channel activity" "1/9" "2/18410" 0.000977517048863619 0.0114216979129338 0.00163273134557858 "GLRA2" 1
"21" "HIP" "GO:0004867" "serine-type endopeptidase inhibitor activity" "2/9" "98/18410" 0.000985464490239696 0.0114216979129338 0.00163273134557858 "AGT/SERPINA3" 2
"22" "HIP" "GO:0015267" "channel activity" "3/9" "489/18410" 0.00138835716547368 0.0114216979129338 0.00163273134557858 "AQP4/GLRA2/GJA1" 3
"23" "HIP" "GO:0022803" "passive transmembrane transporter activity" "3/9" "490/18410" 0.00139656368426273 0.0114216979129338 0.00163273134557858 "AQP4/GLRA2/GJA1" 3
"24" "HIP" "GO:0055077" "gap junction hemi-channel activity" "1/9" "3/18410" 0.00146595698511753 0.0114216979129338 0.00163273134557858 "GJA1" 1
"25" "HIP" "GO:0086075" "gap junction channel activity involved in cardiac conduction electrical coupling" "1/9" "3/18410" 0.00146595698511753 0.0114216979129338 0.00163273134557858 "GJA1" 1
"26" "HIP" "GO:0005179" "hormone activity" "2/9" "122/18410" 0.00152104880427682 0.0114216979129338 0.00163273134557858 "NTS/AGT" 2
"27" "HIP" "GO:0016933" "extracellularly glycine-gated ion channel activity" "1/9" "4/18410" 0.00195418463694197 0.0114216979129338 0.00163273134557858 "GLRA2" 1
"28" "HIP" "GO:0016934" "extracellularly glycine-gated chloride channel activity" "1/9" "4/18410" 0.00195418463694197 0.0114216979129338 0.00163273134557858 "GLRA2" 1
"29" "HIP" "GO:0035662" "Toll-like receptor 4 binding" "1/9" "4/18410" 0.00195418463694197 0.0114216979129338 0.00163273134557858 "S100A8" 1
"30" "HIP" "GO:0043177" "organic acid binding" "2/9" "141/18410" 0.0020241867537607 0.0114216979129338 0.00163273134557858 "GLRA2/S100A8" 2
"31" "HIP" "GO:0034634" "glutathione transmembrane transporter activity" "1/9" "5/18410" 0.00244220008507101 0.0114216979129338 0.00163273134557858 "GJA1" 1
"32" "HIP" "GO:0004322" "ferroxidase activity" "1/9" "6/18410" 0.00293000341021288 0.0114216979129338 0.00163273134557858 "CP" 1
"33" "HIP" "GO:0016724" "oxidoreductase activity, acting on metal ions, oxygen as acceptor" "1/9" "6/18410" 0.00293000341021288 0.0114216979129338 0.00163273134557858 "CP" 1
