"ID" "Description" "source" "Ratio" "BgRatio" "pvalue" "FDR" "disease_class" "disease_class_name" "disease_semantic_type" "shared_geneid" "shared_symbol" "Count" "gg" "region"
"2" "C1848138" "X INACTIVATION, FAMILIAL SKEWED, 1 (disorder)" "CURATED" "1/1" "1/9703" 0.000103071531643372 0.000206143063286744 "C16" "Congenital, Hereditary, and Neonatal Diseases and Abnormalities" "Disease or Syndrome" "7503" "XIST" 1 1 "AMY"
"1" "C0021400" "Influenza" "CURATED" "1/1" "52/9703" 0.00535971964545534 0.00535971964545534 "C01;C08" "Infections;Respiratory Tract Diseases" "Disease or Syndrome" "7503" "XIST" 1 1 "AMY"
"13" "C0003635" "Apraxias" "CURATED" "1/2" "2/9703" 0.000412264876889206 0.000856242436616044 "C10;C23;F01" "Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Behavior and Behavior Mechanisms" "Mental or Behavioral Dysfunction" "93986" "FOXP2" 1 0.5 "CBC"
"10" "C0234526" "Ideational Apraxia" "CURATED" "1/2" "2/9703" 0.000412264876889206 0.000856242436616044 "C10;C23;F01" "Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Behavior and Behavior Mechanisms" "Mental or Behavioral Dysfunction" "93986" "FOXP2" 1 0.5 "CBC"
"11" "C0234527" "Apraxia, Motor" "CURATED" "1/2" "2/9703" 0.000412264876889206 0.000856242436616044 "C10;C23;F01" "Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Behavior and Behavior Mechanisms" "Pathologic Function" "93986" "FOXP2" 1 0.5 "CBC"
"12" "C0234529" "Dressing Apraxia" "CURATED" "1/2" "2/9703" 0.000412264876889206 0.000856242436616044 "C10;C23;F01" "Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Behavior and Behavior Mechanisms" "Mental or Behavioral Dysfunction" "93986" "FOXP2" 1 0.5 "CBC"
"15" "C0349391" "Apraxia, Verbal" "CURATED" "1/2" "2/9703" 0.000412264876889206 0.000856242436616044 "C10;C23;F01" "Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Behavior and Behavior Mechanisms" "Mental or Behavioral Dysfunction" "93986" "FOXP2" 1 0.5 "CBC"
"21" "C1848138" "X INACTIVATION, FAMILIAL SKEWED, 1 (disorder)" "CURATED" "1/1" "1/9703" 0.000103071531643372 0.000206143063286744 "C16" "Congenital, Hereditary, and Neonatal Diseases and Abnormalities" "Disease or Syndrome" "7503" "XIST" 1 1 "CC"
"14" "C0021400" "Influenza" "CURATED" "1/1" "52/9703" 0.00535971964545534 0.00535971964545534 "C01;C08" "Infections;Respiratory Tract Diseases" "Disease or Syndrome" "7503" "XIST" 1 1 "CC"
"111" "C1832587" "POLYPOSIS SYNDROME, HEREDITARY MIXED, 1" "CURATED" "1/3" "2/9703" 0.000618365440857534 0.00262805312364452 "C04;C06;C16" "Neoplasms;Digestive System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities" "Disease or Syndrome" "26585" "GREM1" 1 0.2 "FC"
